name,wind_mean,wind_std
9.0,8.122421264648438,1.355797292501617
67.0,,
75.0,,
73.0,,
55.0,7.735568189416904,0.49773234233635255
51.0,4.0853387741815474,0.7827779254462266
43.0,6.8319726120707385,0.9631614582597507
2.0,5.557845024797429,1.2839994950734759
35.0,5.926041506999796,0.9286508945602854
81.0,,
24.0,6.12701339777737,0.7420893102837827
84.0,,
8.0,5.6339607283178115,0.9975623216759187
89.0,,
41.0,7.229812608170887,0.7783355535417881
79.0,,
31.0,5.527526453392622,0.7247691771252927
5.0,4.819320615338025,0.5661207938531068
44.0,6.064562802387373,0.7970719356558623
49.0,5.015981322705349,1.0528155870781808
66.0,4.773950630168575,0.8018806917603007
94.0,,
80.0,,
33.0,4.344994329637097,0.17855794745858697
38.0,4.592995228172776,1.1857085007864225
25.0,6.5391293381759485,0.9277127066266702
53.0,7.691164314516129,1.2637924710583046
3.0,4.610091351533702,0.6802113157184885
88.0,,
87.0,,
62.0,6.5615798646064025,1.6565427857091726
22.0,6.979272397571376,1.6427888394147856
77.0,,
6.0,7.004209339684399,1.3289929035129153
42.0,7.229050205547871,0.5648642821306316
36.0,5.645916163523107,0.7707000623333699
19.0,5.13702490899938,0.2987752866537521
29.0,7.6767957693840945,1.5997548935343626
14.0,7.794741569928137,0.8802671466778692
61.0,6.166588283463173,0.46920201855368254
56.0,5.858574485588138,1.320149086433166
95.0,,
60.0,6.299036267251922,0.4255715151199244
30.0,7.342496605389597,0.5345826444911977
47.0,6.443072916666667,0.7320703047451287
63.0,5.02691117487631,0.43373534324708063
46.0,6.3550179208113615,0.4523515226002065
93.0,,
85.0,,
96.0,,
59.0,6.574602363782051,0.8003380643114764
37.0,4.271125717315369,0.7875572842966465
57.0,5.47543656198602,0.5463823570887922
74.0,,
70.0,,
1.0,4.352470536587923,0.5178743071071912
76.0,,
7.0,4.745162065609571,0.4673953985742758
86.0,,
91.0,,
92.0,,
12.0,6.567476866675205,0.9478226237988184
20.0,5.031777081104829,0.8282474023319482
16.0,5.173883900613728,0.1423972551480441
65.0,5.505416119684939,0.8066537156372884
18.0,5.884948906160046,0.5247709654099372
27.0,8.148482223176316,1.077872581759019
,5.002204382227174,1.6202313994806963
,6.067105674510004,1.9589361028618415
,7.122449654506972,0.14554161818778907
,6.838962403539932,0.47691664383977916
,7.46812165912829,0.3312706468070682
,5.141332308451335,0.008241193074877336
,5.0059670840992645,0.08102940531019118
,6.091694483125819,0.9999172182808287
,6.403698422588616,1.5924338562054297
,6.421578419337239,1.0799269904555022
,7.233573584686003,1.1602290302089922
,4.40068144643284,0.41271073572178085
,3.834697102121385,0.37432374338961755
,6.277422920044589,0.7101497675333827
,2.927210686615159,0.18500534591472967
,7.046817597888765,0.39538171581036946
,6.160947349450107,0.5969115304968778
,5.476998286849403,1.1227372785238636
,5.8406586089691555,1.3358964078385551
,7.3472872557003255,1.0925290129453822
,5.521757426366754,1.0429066975384902
,5.462656027331026,0.971520173384611
