name,wind_mean,wind_std
0,3.54173583984375,0.5896853037955698
1,3.8464383669812294,0.7105533065645199
2,3.397414047830606,0.6197480369819872
3,3.2969119423314144,0.215902550712089
4,3.2358826427924923,0.5438779121501106
5,4.085699659778226,0.14088327082499302
6,2.9540391079215116,0.05817577209101534
7,5.358920769942435,1.8756594667338775
8,3.3007227579752603,0.3895294556176247
9,2.939215298356681,0.189583330441948
10,,
11,3.283972530041711,0.08096550756568066
12,2.821957489938447,0.5751746018316813
13,4.086207866668701,0.7961310533967813
14,4.086004038326076,0.15805247897032282
15,4.465542879971591,1.0261027666967648
16,,
17,3.628045399983724,0.14297836184006427
18,4.21763169285142,1.1612241307666336
19,2.9615568567494877,0.05695382969740147
20,3.522269761266787,0.3484102424952598
21,3.2269468145855402,0.16800773202459385
22,,
23,4.1435183840613385,0.9427586131952983
24,3.5189141938180635,0.2124901282659839
25,3.0155238687557024,0.4167701261956788
26,3.173868179321289,0.15281590517503463
27,4.466041395399306,0.9567351747640991
28,2.8761988146551722,0.5748040216765606
29,2.993318698550231,0.2460937557124953
30,5.248175497794483,1.3377067911725695
31,3.0289352241603806,0.24464578595888758
32,3.1656564812911183,0.3813697501359669
33,3.4044910109186746,0.6143337822682298
34,,
35,4.396952784338663,0.20089733910303825
36,3.700955073038737,1.2001795440483884
37,,
38,5.079780444764254,1.370390037007624
39,4.42391845703125,0.09309116307080172
40,3.3378777610881447,0.27547747908505854
41,3.0123159235174004,0.2399859082330076
42,2.888314056396484,0.036471888627215725
43,3.116458830286245,0.30424986521014613
44,3.2164829799107144,0.6236960067849109
45,4.715440433458012,0.2197732502686828
46,4.078294633745073,1.0084662155828494
47,2.987799360945418,0.07624394616216676
48,3.0256764040154924,0.17969505388968476
49,3.5456206652582907,0.22917434560673136
50,4.909710817920918,1.0076498310963526
51,3.728136623606962,0.38366774689699473
52,3.9947170300430126,1.0220235050411797
53,3.864364239348083,0.4126293743987758
54,3.0362189797794117,0.13465474982283027
55,3.5439056657318377,0.37232723139474255
56,3.1675251843457555,0.6985545460213124
57,,
58,4.142234912817029,1.1239256914609732
59,3.4953357696533205,0.42979717109091264
60,3.890858227054015,0.15383207139450897
61,3.2396647135416665,0.6374363324082026
62,2.9593420940896737,0.6330157488050484
63,3.770657322987789,0.16024249746418506
64,3.5068539110429446,1.1673485990764947
65,3.806189361462094,0.830463114481693
66,3.4724369227329146,0.25635892714229636
67,,
68,3.7533661927970203,0.7665870961655582
69,3.6689105770452235,0.1425780347168207
70,3.1633003048780486,0.11443005360449628
71,,
72,3.6558335248161766,0.1490920558878974
73,3.965558220358456,0.1930679709628055
74,3.7280439897017046,0.1177417139420029
75,3.2953091958411656,0.526811415633733
76,3.152667516949533,0.3384778148621764
77,3.631617018013946,0.6477936544361637
